t_s,left_rpm,right_rpm,left_ticks,right_ticks,left_pwm,right_pwm
0.0204,0.000,0.000,1587,1670,1.0000,1.0000
0.0759,27.333,28.000,1629,1713,0.7187,0.7040
0.1201,48.667,46.667,1701,1783,0.3147,0.3573
0.1703,42.000,42.667,1765,1847,0.4840,0.4720
0.2203,38.667,41.333,1823,1909,0.5933,0.5360
0.2705,38.667,39.333,1880,1967,0.6360,0.6173
0.3204,38.000,36.000,1937,2022,0.6933,0.7320
0.3707,36.000,35.333,1992,2075,0.7813,0.7947
0.4203,37.333,38.000,2047,2132,0.8000,0.7853
0.4716,39.333,41.333,2106,2193,0.8013,0.7560
0.5202,42.667,42.000,2171,2256,0.7693,0.7787
0.5703,42.000,42.000,2234,2320,0.8187,0.8147
0.6203,43.333,41.333,2299,2382,0.8253,0.8653
0.6703,45.333,44.667,2367,2449,0.8147,0.8293
0.7204,46.000,47.333,2436,2519,0.8293,0.8013
0.7719,46.000,46.667,2505,2590,0.8573,0.8413
0.8223,47.333,48.667,2576,2663,0.8560,0.8240
0.8760,52.667,47.333,2654,2734,0.7640,0.8760
0.9205,50.000,52.000,2730,2812,0.8373,0.7987
0.9704,50.000,51.333,2805,2889,0.8573,0.8293
1.0204,49.333,48.667,2879,2962,0.8920,0.9053
1.0704,54.667,52.000,2961,3040,0.7960,0.8547
1.1246,54.000,54.667,3042,3122,0.8213,0.8120
1.1729,51.333,51.333,3118,3198,0.8920,0.8960
1.2219,54.667,55.333,3200,3282,0.8360,0.8253
1.3203,56.000,54.000,3363,3445,0.8333,0.8747
1.3702,56.667,55.333,3448,3528,0.8267,0.8573
1.4204,54.667,53.333,3530,3608,0.8773,0.9107
1.4730,56.667,57.333,3615,3694,0.8440,0.8360
1.5204,56.000,55.333,3699,3777,0.8653,0.8853
1.5704,54.667,57.333,3781,3863,0.9027,0.8507
1.6204,56.000,57.333,3865,3949,0.8840,0.8560
1.6703,58.000,53.333,3952,4029,0.8480,0.9493
1.7204,58.667,56.000,4039,4113,0.8373,0.9040
1.7703,55.333,61.333,4123,4205,0.9133,0.7947
1.8231,57.333,59.333,4209,4294,0.8787,0.8360
1.8703,58.000,54.667,4296,4376,0.8693,0.9400
1.9204,55.333,60.000,4379,4466,0.9320,0.8333
1.9718,58.667,52.667,4467,4545,0.8680,0.9947
2.0218,59.333,63.333,4556,4641,0.8560,0.7747
2.0704,60.000,66.000,4646,4740,0.8427,0.7093
2.1233,57.333,61.333,4731,4831,0.9013,0.8000
2.1703,57.333,55.333,4817,4914,0.9067,0.9293
2.2205,58.667,58.667,4906,5002,0.8827,0.8653
2.2708,58.667,60.667,4993,5093,0.8853,0.8240
2.3204,61.333,58.667,5086,5181,0.8293,0.8667
2.3704,58.000,54.667,5173,5263,0.9000,0.9573
2.4203,57.333,60.000,5259,5353,0.9187,0.8507
2.4706,59.333,61.333,5348,5445,0.8800,0.8213
2.5204,61.333,58.667,5440,5533,0.8373,0.8773
2.5704,58.667,58.667,5528,5621,0.8933,0.8800
2.6204,58.667,58.667,5616,5709,0.8960,0.8827
2.6707,54.000,52.667,5697,5788,0.9893,1.0000
2.7233,62.667,62.667,5791,5882,0.8107,0.7973
2.7704,62.667,62.667,5885,5976,0.8053,0.7920
2.8205,58.667,59.333,5973,6065,0.8880,0.8600
2.8705,58.667,54.667,6061,6147,0.8907,0.9640
2.9206,59.333,60.667,6150,6238,0.8787,0.8427
2.9704,59.333,62.667,6239,6332,0.8800,0.7973
3.0205,57.333,58.667,6325,6420,0.9253,0.8800
3.0704,58.667,56.667,6413,6505,0.9013,0.9267
3.1217,60.000,57.333,6503,6592,0.8747,0.9187
3.1704,59.333,60.000,6591,6681,0.8893,0.8653
3.2280,59.333,62.000,6681,6774,0.8907,0.8213
3.2726,58.000,56.667,6768,6859,0.9213,0.9347
3.3205,63.333,59.333,6863,6948,0.8080,0.8827
3.3709,59.333,57.333,6952,7034,0.8893,0.9280
3.4230,55.333,60.667,7035,7125,0.9787,0.8600
3.4704,62.000,60.667,7128,7216,0.8413,0.8587
3.5204,65.333,60.000,7226,7306,0.7640,0.8720
3.5704,61.333,57.333,7318,7392,0.8413,0.9307
3.6216,56.000,58.000,7402,7479,0.9560,0.9213
3.6704,60.667,60.667,7493,7570,0.8613,0.8667
3.7204,58.000,59.333,7580,7659,0.9187,0.8947
3.7704,62.667,56.000,7674,7743,0.8200,0.9693
3.8204,62.667,63.333,7768,7839,0.8147,0.8160
3.8718,56.000,62.000,7852,7931,0.9560,0.8387
3.9218,60.000,58.000,7942,8018,0.8760,0.9227
3.9706,59.333,58.667,8031,8106,0.8907,0.9120
