t_s,left_rpm,right_rpm,left_ticks,right_ticks,left_pwm,right_pwm
0.0353,0.000,0.000,19019,19170,0.6600,0.6600
0.0808,8.000,6.667,19031,19180,0.5440,0.5733
0.1323,13.333,13.333,19052,19200,0.4707,0.4733
0.1807,15.333,14.667,19074,19222,0.4600,0.4773
0.2340,15.333,14.667,19097,19244,0.4893,0.5080
0.2807,16.000,17.333,19122,19270,0.5040,0.4800
0.3376,17.333,18.000,19147,19297,0.5027,0.4907
0.3807,17.333,18.667,19174,19325,0.5280,0.5000
0.4357,18.667,18.667,19201,19353,0.5240,0.5227
0.4807,18.667,20.000,19229,19384,0.5467,0.5160
0.5308,20.667,20.000,19260,19413,0.5253,0.5360
0.5809,20.667,20.667,19291,19445,0.5440,0.5413
0.6322,22.000,22.667,19324,19479,0.5333,0.5160
0.6809,22.000,22.667,19358,19512,0.5493,0.5307
0.7308,23.333,24.000,19392,19548,0.5360,0.5160
0.7810,23.333,24.000,19427,19585,0.5493,0.5280
0.8308,24.000,24.667,19463,19622,0.5480,0.5253
0.8809,23.333,25.333,19498,19659,0.5747,0.5213
0.9307,24.667,24.000,19535,19695,0.5587,0.5600
0.9823,24.000,24.667,19571,19732,0.5840,0.5573
1.0309,25.333,24.667,19610,19770,0.5667,0.5680
1.0826,26.667,26.667,19649,19810,0.5467,0.5347
1.1310,26.667,26.000,19689,19848,0.5533,0.5560
1.1866,24.000,26.000,19725,19887,0.6187,0.5640
1.2310,24.000,26.000,19762,19927,0.6307,0.5720
1.2810,26.667,26.667,19802,19967,0.5840,0.5653
1.3363,28.667,27.333,19844,20007,0.5467,0.5573
1.3850,26.000,28.000,19883,20049,0.6080,0.5480
1.4310,25.333,27.333,19922,20090,0.6307,0.5667
1.4823,29.333,27.333,19965,20132,0.5520,0.5720
1.5309,27.333,29.333,20007,20175,0.5973,0.5333
1.5811,28.000,27.333,20049,20217,0.5880,0.5787
1.6310,28.000,29.333,20091,20260,0.5920,0.5400
1.6858,29.333,26.667,20135,20300,0.5667,0.6000
1.7309,29.333,28.000,20179,20343,0.5680,0.5773
1.7809,29.333,30.000,20223,20388,0.5693,0.5373
1.8309,28.000,30.000,20264,20432,0.6000,0.5373
1.8826,28.000,28.000,20306,20475,0.6040,0.5813
1.9309,28.000,28.667,20348,20517,0.6080,0.5707
1.9809,26.667,28.667,20389,20560,0.6413,0.5733
2.0310,28.667,27.333,20432,20601,0.6040,0.6053
2.0827,30.667,27.333,20477,20643,0.5627,0.6107
2.1309,27.333,30.000,20518,20687,0.6347,0.5573
2.1811,28.667,28.000,20562,20730,0.6107,0.6013
2.2309,29.333,31.333,20606,20776,0.5987,0.5320
2.2826,28.000,27.333,20648,20817,0.6293,0.6173
2.3309,30.667,28.000,20694,20860,0.5747,0.6080
2.3845,31.333,32.000,20740,20907,0.5587,0.5240
2.4310,27.333,30.000,20782,20953,0.6440,0.5640
2.4822,29.333,28.667,20826,20995,0.6053,0.5933
2.5326,28.667,27.333,20868,21036,0.6213,0.6253
2.5810,29.333,30.667,20912,21082,0.6093,0.5573
2.6310,29.333,29.333,20957,21126,0.6107,0.5853
2.6809,31.333,30.667,21004,21172,0.5680,0.5573
2.7324,31.333,28.667,21050,21216,0.5653,0.6000
2.7825,29.333,32.000,21094,21263,0.6067,0.5293
2.8311,26.000,25.333,21134,21301,0.6813,0.6720
2.8823,31.333,30.667,21181,21347,0.5720,0.5640
2.9312,30.000,30.667,21226,21394,0.5987,0.5627
2.9835,31.333,32.667,21272,21442,0.5693,0.5173
3.0310,26.667,28.000,21312,21484,0.6693,0.6147
3.0810,28.667,30.000,21355,21530,0.6320,0.5747
3.1312,30.000,30.667,21400,21575,0.6053,0.5600
3.1840,31.333,29.333,21448,21619,0.5760,0.5880
3.2310,31.333,30.667,21495,21665,0.5733,0.5600
3.2810,31.333,30.000,21541,21711,0.5707,0.5733
3.3311,29.333,29.333,21585,21754,0.6120,0.5880
3.3840,28.667,30.000,21629,21800,0.6280,0.5747
3.4311,30.667,30.667,21675,21846,0.5867,0.5600
3.4811,30.667,32.000,21721,21894,0.5853,0.5293
3.5310,29.333,31.333,21765,21941,0.6133,0.5400
3.5810,29.333,31.333,21809,21988,0.6147,0.5373
3.6312,29.333,31.333,21853,22034,0.6160,0.5347
3.6824,28.667,29.333,21895,22078,0.6320,0.5760
3.7313,28.000,29.333,21937,22122,0.6493,0.5773
3.7837,30.000,30.667,21983,22169,0.6093,0.5493
3.8341,30.667,29.333,22028,22213,0.5947,0.5773
3.8809,30.000,30.000,22073,22258,0.6080,0.5640
3.9326,27.333,30.000,22114,22302,0.6667,0.5640
3.9810,28.667,29.333,22158,22347,0.6427,0.5787
