t_s,left_rpm,right_rpm,left_ticks,right_ticks,left_pwm,right_pwm
0.0477,0.000,0.000,5493,5618,1.0000,1.0000
0.1423,45.333,47.333,5604,5729,0.1107,0.0693
0.1937,40.000,40.000,5663,5790,0.1973,0.1960
0.2423,38.000,35.333,5721,5843,0.2213,0.2787
0.2941,34.000,34.000,5772,5894,0.2933,0.2973
0.3436,29.333,30.000,5815,5938,0.3880,0.3773
0.3938,28.000,28.000,5857,5981,0.4187,0.4213
0.4439,26.000,26.667,5896,6021,0.4667,0.4547
0.4923,22.000,27.333,5929,6061,0.5627,0.4467
0.5427,23.333,24.667,5964,6099,0.5493,0.5107
0.5921,24.667,23.333,6001,6133,0.5333,0.5507
0.6425,23.333,24.667,6036,6170,0.5733,0.5347
0.6923,24.667,24.667,6073,6207,0.5573,0.5453
0.7424,24.667,25.333,6111,6245,0.5680,0.5413
0.7935,25.333,25.333,6149,6283,0.5640,0.5507
0.8457,24.667,25.333,6185,6322,0.5880,0.5600
0.8972,24.000,26.000,6222,6360,0.6133,0.5547
0.9424,26.000,24.667,6261,6398,0.5813,0.5920
0.9937,28.000,25.333,6302,6435,0.5453,0.5880
1.0425,25.333,27.333,6340,6476,0.6080,0.5533
1.0920,26.667,26.000,6381,6515,0.5880,0.5880
1.1422,26.667,26.000,6421,6554,0.5947,0.5960
1.1922,27.333,26.667,6461,6594,0.5867,0.5893
1.2423,26.000,25.333,6500,6633,0.6213,0.6253
1.2962,26.000,28.667,6539,6676,0.6293,0.5613
1.3421,29.333,29.333,6584,6719,0.5640,0.5493
1.3923,28.000,28.000,6626,6762,0.5947,0.5800
1.4436,28.000,30.667,6668,6807,0.5987,0.5253
1.4923,28.000,28.000,6710,6850,0.6027,0.5827
1.5429,27.333,30.000,6750,6895,0.6213,0.5427
1.5924,28.000,28.667,6793,6937,0.6120,0.5720
1.6439,27.333,28.000,6834,6979,0.6307,0.5893
1.6924,28.667,30.000,6877,7025,0.6067,0.5493
1.7423,28.000,30.000,6918,7070,0.6240,0.5493
1.7971,29.333,30.000,6962,7114,0.5987,0.5493
1.8422,27.333,28.000,7004,7157,0.6440,0.5933
1.8940,28.667,28.667,7046,7199,0.6200,0.5827
1.9423,28.000,28.667,7088,7243,0.6373,0.5853
1.9924,30.000,30.667,7133,7288,0.5973,0.5440
2.0422,29.333,28.667,7177,7331,0.6120,0.5867
2.0923,30.667,28.667,7224,7375,0.5840,0.5893
2.1422,30.000,29.333,7268,7418,0.5973,0.5773
2.1924,26.667,29.333,7308,7462,0.6707,0.5787
2.2426,29.333,29.333,7353,7506,0.6187,0.5800
2.2924,28.667,28.000,7395,7548,0.6347,0.6107
2.3465,31.333,26.667,7442,7589,0.5787,0.6440
2.3939,31.333,31.333,7489,7636,0.5760,0.5480
2.4423,29.333,29.333,7534,7679,0.6173,0.5893
2.4923,30.667,30.000,7580,7724,0.5893,0.5760
2.5423,28.000,28.667,7622,7767,0.6467,0.6053
2.5923,30.667,30.000,7668,7812,0.5920,0.5787
2.6424,26.000,26.000,7706,7852,0.6933,0.6667
2.6954,27.333,30.667,7747,7898,0.6720,0.5720
2.7425,32.000,30.667,7795,7944,0.5747,0.5707
2.7924,28.000,32.000,7837,7992,0.6587,0.5400
2.8423,30.000,30.667,7883,8038,0.6187,0.5653
2.8953,31.333,31.333,7929,8085,0.5893,0.5493
2.9426,28.667,31.333,7973,8132,0.6453,0.5467
2.9924,30.667,28.000,8018,8174,0.6040,0.6173
3.0448,27.333,31.333,8060,8221,0.6760,0.5480
3.0925,32.000,31.333,8108,8267,0.5787,0.5453
3.1424,29.333,29.333,8151,8311,0.6333,0.5867
3.1925,30.000,28.667,8197,8355,0.6200,0.6027
3.2451,28.000,30.000,8238,8399,0.6640,0.5760
3.2939,28.000,28.667,8280,8442,0.6680,0.6053
3.3450,28.000,30.000,8322,8487,0.6720,0.5787
3.3931,31.333,29.333,8369,8532,0.6027,0.5933
3.4424,30.667,31.333,8416,8579,0.6147,0.5507
3.4936,31.333,32.000,8462,8626,0.5987,0.5333
3.5439,28.000,26.667,8504,8667,0.6693,0.6467
3.5937,30.667,30.000,8550,8711,0.6147,0.5800
3.6423,30.667,28.667,8596,8754,0.6133,0.6093
3.6924,30.667,30.000,8642,8800,0.6120,0.5827
3.7438,28.000,32.000,8684,8847,0.6693,0.5387
3.7922,30.000,30.000,8730,8892,0.6293,0.5787
3.8423,28.000,28.667,8772,8935,0.6733,0.6080
3.8924,28.667,28.667,8814,8979,0.6627,0.6107
3.9437,30.000,32.000,8859,9026,0.6360,0.5400
3.9924,28.667,28.667,8902,9069,0.6653,0.6093
