t_s,left_rpm,right_rpm,left_ticks,right_ticks,left_pwm,right_pwm
0.0193,0.000,0.000,16282,16355,1.0000,1.0000
0.1209,44.000,46.667,16389,16466,0.1413,0.0840
0.1735,43.333,42.000,16455,16528,0.1280,0.1533
0.2185,36.000,36.000,16509,16583,0.2627,0.2613
0.2680,34.667,33.333,16561,16633,0.2800,0.3080
0.3182,30.000,30.667,16605,16678,0.3733,0.3600
0.3702,28.667,27.333,16649,16719,0.4027,0.4320
0.4172,27.333,23.333,16689,16754,0.4347,0.5253
0.5200,23.333,26.667,16760,16832,0.5413,0.4760
0.5702,25.333,26.000,16797,16871,0.5107,0.4973
0.6181,20.000,25.333,16827,16908,0.6373,0.5200
0.6665,24.000,26.000,16863,16947,0.5693,0.5147
0.7261,24.667,24.667,16901,16984,0.5667,0.5520
0.7666,26.667,25.333,16941,17022,0.5333,0.5480
0.8181,26.667,26.667,16981,17062,0.5400,0.5280
0.9192,26.000,25.333,17055,17141,0.5733,0.5707
0.9689,25.333,28.000,17094,17182,0.5960,0.5213
1.0188,25.333,24.667,17131,17219,0.6053,0.5987
1.1181,28.000,28.667,17213,17301,0.5627,0.5293
1.1679,24.667,24.667,17250,17338,0.6400,0.6200
1.2200,27.333,28.667,17291,17381,0.5920,0.5427
1.2666,23.333,26.000,17326,17421,0.6853,0.6040
1.3167,28.667,29.333,17369,17465,0.5813,0.5387
1.3665,28.667,28.667,17413,17507,0.5840,0.5547
1.4167,30.000,28.000,17458,17549,0.5573,0.5720
1.4692,30.000,28.000,17501,17590,0.5573,0.5760
1.5676,27.333,28.000,17583,17671,0.6227,0.5893
1.6166,26.000,28.000,17622,17713,0.6573,0.5933
1.6668,28.667,29.333,17666,17758,0.6067,0.5680
1.7186,25.333,29.333,17704,17802,0.6827,0.5693
1.7667,28.667,30.667,17747,17848,0.6187,0.5413
1.8165,30.667,30.667,17792,17894,0.5773,0.5400
1.8666,30.000,30.667,17837,17939,0.5907,0.5387
1.9167,29.333,26.000,17882,17978,0.6053,0.6400
1.9681,30.000,28.667,17926,18021,0.5920,0.5893
2.0168,29.333,28.000,17971,18064,0.6067,0.6067
2.0706,31.333,31.333,18017,18110,0.5640,0.5373
2.1167,27.333,28.000,18059,18153,0.6493,0.6080
2.1666,28.000,31.333,18101,18199,0.6400,0.5387
2.2181,28.667,28.000,18143,18241,0.6293,0.6093
2.2683,31.333,28.000,18190,18284,0.5733,0.6133
2.3189,30.000,29.333,18235,18327,0.6000,0.5880
2.4167,29.333,31.333,18325,18422,0.6133,0.5427
2.4667,28.000,31.333,18367,18468,0.6440,0.5400
2.5166,29.333,29.333,18412,18512,0.6187,0.5813
2.5721,30.000,29.333,18456,18557,0.6053,0.5827
2.6674,30.000,30.667,18544,18649,0.6093,0.5533
2.7678,30.000,30.000,18633,18737,0.6093,0.5693
2.8191,30.000,28.000,18678,18779,0.6093,0.6133
2.8666,29.333,30.000,18723,18823,0.6240,0.5733
2.9219,28.667,27.333,18765,18864,0.6400,0.6320
2.9724,30.000,28.667,18811,18908,0.6133,0.6080
3.0166,27.333,29.333,18851,18951,0.6720,0.5960
3.0725,30.000,29.333,18897,18996,0.6187,0.5973
3.1166,28.000,31.333,18938,19042,0.6627,0.5547
3.1682,29.333,28.000,18982,19085,0.6373,0.6253
3.2191,32.000,31.333,19031,19132,0.5800,0.5560
3.3177,31.333,30.667,19124,19221,0.5893,0.5707
3.3666,31.333,30.000,19171,19266,0.5867,0.5840
3.4169,31.333,30.667,19217,19311,0.5840,0.5693
3.4670,25.333,28.667,19255,19354,0.7133,0.6120
3.5723,32.000,31.333,19345,19449,0.5813,0.5533
3.6181,31.333,31.333,19391,19496,0.5920,0.5507
3.6683,29.333,30.000,19435,19540,0.6333,0.5773
3.7171,28.667,28.000,19479,19583,0.6493,0.6213
3.8167,31.333,30.000,19569,19674,0.5947,0.5787
3.8683,30.000,30.000,19615,19719,0.6213,0.5787
3.9202,29.333,29.333,19658,19764,0.6360,0.5933
3.9681,28.000,27.333,19700,19805,0.6667,0.6387
