t_s,left_rpm,right_rpm,left_ticks,right_ticks,left_pwm,right_pwm
0.0173,0.000,0.000,1552,1648,1.0000,1.0000
0.0658,30.667,28.000,1598,1690,0.6453,0.7040
0.1183,49.333,47.333,1673,1762,0.2933,0.3427
0.2157,38.000,38.667,1793,1886,0.6000,0.5907
0.2658,39.333,40.000,1851,1946,0.6147,0.6040
0.3159,37.333,40.000,1908,2006,0.7000,0.6440
0.3661,36.000,37.333,1962,2062,0.7747,0.7427
0.4672,42.667,39.333,2080,2178,0.7227,0.7880
0.5157,38.667,40.000,2139,2237,0.8453,0.8147
0.5659,44.667,44.000,2206,2304,0.7560,0.7667
0.6177,44.000,44.667,2272,2371,0.8013,0.7840
0.6665,46.000,45.333,2340,2438,0.7893,0.8000
0.7685,50.000,46.667,2480,2575,0.7640,0.8320
0.8158,52.667,48.667,2559,2648,0.7253,0.8147
0.8683,50.000,50.000,2633,2722,0.7987,0.8080
0.9673,53.333,52.000,2783,2872,0.7720,0.8093
1.0158,49.333,52.000,2858,2950,0.8733,0.8253
1.0658,52.667,51.333,2936,3027,0.8213,0.8560
1.1180,52.667,52.000,3016,3105,0.8360,0.8587
1.2160,57.333,57.333,3174,3262,0.7720,0.7827
1.2660,59.333,62.667,3262,3356,0.7333,0.6707
1.3180,56.667,60.667,3348,3447,0.7933,0.7093
1.3669,49.333,50.667,3422,3523,0.9613,0.9280
1.4676,62.000,59.333,3598,3693,0.7133,0.7680
1.5160,58.000,56.667,3685,3778,0.7973,0.8280
1.5664,57.333,57.333,3770,3863,0.8160,0.8200
1.6658,61.333,59.333,3935,4030,0.7333,0.8000
1.7159,64.000,60.000,4031,4119,0.6720,0.7867
1.7666,62.000,58.667,4124,4208,0.7080,0.8160
1.8158,53.333,52.667,4203,4286,0.8947,0.9507
1.8672,55.333,58.667,4286,4374,0.8640,0.8333
1.9158,56.000,58.667,4371,4462,0.8587,0.8360
1.9659,57.333,58.000,4457,4549,0.8373,0.8533
2.0159,51.333,54.000,4534,4630,0.9747,0.9453
2.0658,58.000,60.667,4621,4721,0.8453,0.8107
2.1158,58.667,58.667,4709,4809,0.8347,0.8533
2.1679,59.333,60.667,4798,4900,0.8227,0.8120
2.2179,53.333,52.000,4881,4975,0.9560,0.9853
2.3160,61.333,66.000,5062,5163,0.7907,0.6987
2.3660,57.333,61.333,5148,5255,0.8760,0.7893
2.4159,54.667,52.667,5230,5334,0.9400,0.9773
2.4660,59.333,59.333,5319,5423,0.8480,0.8453
2.5159,59.333,62.000,5408,5516,0.8493,0.7880
2.5658,58.000,60.000,5495,5606,0.8800,0.8280
2.6174,58.000,56.667,5582,5691,0.8840,0.9013
2.7172,57.333,62.000,5756,5862,0.9053,0.7907
2.7659,58.667,66.667,5844,5962,0.8813,0.6840
2.8186,60.667,61.333,5936,6054,0.8400,0.7880
2.9160,58.000,57.333,6108,6222,0.9027,0.8840
2.9695,58.667,60.667,6196,6313,0.8920,0.8160
3.0181,62.667,61.333,6290,6405,0.8067,0.8000
3.0660,58.000,53.333,6377,6485,0.9040,0.9733
3.1159,58.000,58.667,6463,6573,0.9080,0.8693
3.1672,60.000,66.000,6554,6672,0.8680,0.7107
3.2179,59.333,60.667,6643,6763,0.8827,0.8160
3.2696,55.333,52.000,6726,6841,0.9720,0.9893
3.3660,66.000,65.333,6913,7028,0.7493,0.7133
3.4161,62.000,59.333,7006,7118,0.8253,0.8347
3.4661,60.000,60.667,7095,7208,0.8653,0.8067
3.5170,57.333,54.000,7182,7289,0.9240,0.9520
3.6175,62.667,62.000,7362,7464,0.8160,0.7973
3.6661,61.333,64.000,7455,7561,0.8400,0.7493
3.7178,58.667,57.333,7543,7647,0.8960,0.8880
3.7659,54.667,54.000,7625,7728,0.9867,0.9667
3.8160,63.333,60.000,7720,7818,0.8067,0.8467
3.8659,66.000,64.000,7819,7914,0.7413,0.7587
3.9161,63.333,60.000,7914,8004,0.7880,0.8387
3.9681,56.667,57.333,7999,8090,0.9280,0.8973
