t_s,left_rpm,right_rpm,left_ticks,right_ticks,left_pwm,right_pwm
0.0171,0.000,0.000,18145,18557,0.6500,0.6500
0.0629,6.667,6.667,18155,18568,0.6457,0.6457
0.1066,13.333,14.667,18175,18590,0.6790,0.6763
0.1549,18.000,20.000,18202,18619,0.7030,0.6963
0.2097,22.667,24.000,18237,18656,0.6643,0.6283
0.2567,24.667,26.667,18274,18696,0.6350,0.5817
0.3069,27.333,28.000,18314,18738,0.5870,0.5590
0.4068,28.667,28.000,18396,18821,0.5710,0.5683
0.4553,27.333,27.333,18438,18862,0.6030,0.5870
0.5053,28.667,30.000,18481,18906,0.5790,0.5337
0.6046,29.333,30.667,18567,18995,0.5697,0.5217
0.6552,26.667,28.000,18607,19037,0.6297,0.5790
0.7048,28.667,28.667,18651,19081,0.5923,0.5683
0.7562,28.667,29.333,18693,19124,0.5950,0.5563
0.8049,29.333,29.333,18737,19169,0.5830,0.5577
0.8583,28.000,30.000,18778,19214,0.6137,0.5443
0.9049,28.667,29.333,18823,19258,0.6030,0.5590
0.9598,27.333,27.333,18864,19298,0.6350,0.6043
1.0048,28.667,30.000,18907,19343,0.6110,0.5510
1.0607,29.333,27.333,18949,19386,0.5990,0.6097
1.1050,30.667,30.667,18996,19431,0.5710,0.5417
1.2115,31.333,30.667,19087,19520,0.5563,0.5417
1.2548,28.667,28.000,19130,19562,0.6123,0.5990
1.3060,28.667,30.667,19174,19607,0.6150,0.5443
1.4068,30.000,28.667,19268,19698,0.5857,0.5883
1.5053,28.667,32.000,19354,19791,0.6150,0.5150
1.5579,28.667,28.667,19397,19834,0.6177,0.5843
1.6056,30.000,32.000,19442,19881,0.5910,0.5137
1.7048,30.000,30.000,19532,19971,0.5897,0.5537
1.7566,28.667,28.667,19576,20014,0.6190,0.5830
1.8049,28.667,28.667,19619,20057,0.6217,0.5857
1.9061,32.000,32.000,19710,20147,0.5523,0.5203
1.9573,30.000,30.000,19756,20191,0.5923,0.5603
2.0144,30.667,30.000,19801,20237,0.5777,0.5603
2.0549,28.667,30.667,19844,20283,0.6203,0.5457
2.1548,31.333,30.000,19937,20376,0.5643,0.5550
2.2071,31.333,28.667,19984,20419,0.5617,0.5843
2.2566,31.333,31.333,20030,20466,0.5590,0.5283
2.3548,30.667,31.333,20119,20558,0.5750,0.5243
2.4061,28.667,28.000,20162,20601,0.6177,0.5950
2.5074,31.333,31.333,20255,20694,0.5590,0.5230
2.6062,28.000,30.000,20342,20784,0.6310,0.5510
2.6574,27.333,30.000,20383,20829,0.6497,0.5510
2.7581,29.333,28.667,20470,20918,0.6123,0.5790
2.8056,30.667,30.667,20516,20964,0.5843,0.5377
2.8558,29.333,28.000,20561,21006,0.6123,0.5950
2.9072,32.000,31.333,20609,21052,0.5550,0.5257
3.0060,31.333,30.000,20702,21142,0.5643,0.5537
3.0569,31.333,30.000,20749,21187,0.5617,0.5537
3.1550,28.000,31.333,20837,21280,0.6297,0.5217
3.2091,28.000,31.333,20880,21327,0.6337,0.5190
3.2549,30.000,29.333,20925,21371,0.5937,0.5603
3.3561,31.333,30.667,21014,21460,0.5683,0.5363
3.4101,28.000,31.333,21055,21507,0.6390,0.5203
3.4548,29.333,28.667,21099,21550,0.6137,0.5763
3.5050,28.000,30.000,21141,21595,0.6443,0.5497
3.5550,32.000,31.333,21190,21642,0.5603,0.5203
3.6061,30.000,30.000,21235,21687,0.6003,0.5470
3.7061,32.000,30.000,21327,21775,0.5577,0.5497
3.7550,29.333,28.667,21371,21818,0.6123,0.5790
3.8565,28.000,30.667,21456,21908,0.6443,0.5390
3.9050,30.667,29.333,21503,21952,0.5897,0.5670
