t_s,left_rpm,right_rpm,left_ticks,right_ticks,left_pwm,right_pwm
0.0188,0.000,0.000,1807,1888,1.0000,1.0000
0.1169,48.000,44.667,1922,1998,0.0520,0.1253
0.1737,38.000,40.000,1977,2055,0.2360,0.1987
0.2662,32.667,34.667,2075,2165,0.3347,0.2827
0.3209,32.000,30.667,2123,2211,0.3440,0.3613
0.4166,28.000,26.000,2202,2292,0.4373,0.4667
0.4657,24.000,26.667,2238,2332,0.5293,0.4600
0.5169,25.333,26.000,2277,2371,0.5120,0.4813
0.5671,23.333,25.333,2311,2409,0.5653,0.5040
0.6171,22.667,24.000,2346,2445,0.5933,0.5427
0.6720,26.000,25.333,2385,2483,0.5347,0.5253
0.7195,26.667,26.000,2424,2521,0.5280,0.5200
0.7691,20.667,22.000,2455,2554,0.6667,0.6160
0.8657,28.000,25.333,2533,2631,0.5360,0.5680
0.9192,26.000,27.333,2573,2672,0.5840,0.5333
0.9692,28.000,28.000,2614,2713,0.5480,0.5240
1.0162,22.667,24.667,2648,2751,0.6693,0.6013
1.1157,27.333,28.000,2730,2833,0.5880,0.5453
1.1711,28.000,28.667,2771,2875,0.5787,0.5347
1.2163,27.333,26.667,2813,2916,0.5973,0.5813
1.2666,29.333,29.333,2857,2959,0.5587,0.5293
1.3659,28.000,28.667,2939,3039,0.5947,0.5573
1.4233,27.333,28.667,2981,3081,0.6133,0.5600
1.4658,29.333,29.333,3025,3125,0.5747,0.5480
1.5172,29.333,28.000,3069,3168,0.5760,0.5787
1.5672,28.000,26.667,3111,3208,0.6067,0.6120
1.6165,29.333,30.000,3154,3253,0.5813,0.5453
1.6701,25.333,28.667,3192,3296,0.6707,0.5747
1.7163,28.000,28.667,3235,3338,0.6213,0.5773
1.7659,29.333,27.333,3278,3380,0.5960,0.6093
1.8163,28.667,30.667,3322,3425,0.6120,0.5413
1.8666,30.667,29.333,3368,3469,0.5707,0.5693
1.9659,30.000,30.667,3455,3558,0.5867,0.5453
2.0173,30.000,30.667,3501,3603,0.5867,0.5440
2.0670,28.000,28.000,3543,3646,0.6307,0.6013
2.1658,30.667,30.667,3630,3736,0.5800,0.5480
2.2158,28.667,30.667,3674,3782,0.6227,0.5467
2.2708,29.333,30.667,3718,3827,0.6107,0.5453
2.3171,30.667,28.667,3763,3870,0.5827,0.5880
2.3658,28.667,27.333,3806,3911,0.6253,0.6200
2.4161,28.667,29.333,3850,3955,0.6280,0.5813
2.4674,29.333,29.333,3894,3999,0.6160,0.5827
2.5172,29.333,28.000,3938,4042,0.6173,0.6133
2.5683,30.000,30.667,3982,4087,0.6040,0.5587
2.6659,30.667,28.667,4073,4174,0.5893,0.6027
2.7157,29.333,27.333,4117,4215,0.6173,0.6347
2.7670,28.667,30.000,4161,4261,0.6333,0.5813
2.8161,28.000,32.000,4202,4308,0.6507,0.5373
2.8658,31.333,30.000,4249,4354,0.5813,0.5773
2.9161,26.667,31.333,4289,4401,0.6813,0.5480
2.9693,31.333,31.333,4336,4447,0.5853,0.5453
3.0159,27.333,25.333,4377,4485,0.6707,0.6747
3.0659,27.333,30.000,4418,4530,0.6760,0.5813
3.1176,29.333,30.000,4462,4576,0.6373,0.5813
3.1673,32.000,31.333,4511,4623,0.5800,0.5520
3.2180,30.000,30.667,4555,4668,0.6200,0.5640
3.3173,31.333,31.333,4648,4760,0.5907,0.5493
3.3673,28.000,28.667,4689,4802,0.6613,0.6053
3.4171,29.333,28.667,4734,4846,0.6360,0.6080
3.5162,31.333,32.000,4826,4939,0.5933,0.5360
3.5661,30.667,29.333,4872,4984,0.6053,0.5907
3.6160,30.000,28.667,4916,5026,0.6187,0.6067
3.6676,30.000,29.333,4961,5071,0.6187,0.5947
3.7158,27.333,29.333,5002,5114,0.6773,0.5960
3.7680,30.000,30.000,5048,5160,0.6240,0.5827
3.8174,30.667,30.000,5093,5205,0.6093,0.5827
3.8659,27.333,30.667,5135,5250,0.6813,0.5680
3.9191,29.333,30.000,5179,5296,0.6427,0.5813
3.9660,32.667,31.333,5227,5343,0.5707,0.5520
