t_s,left_rpm,right_rpm,left_ticks,right_ticks,left_pwm,right_pwm
0.0426,0.000,0.000,11662,11828,0.6500,0.6500
0.0891,6.667,6.000,11671,11837,0.6457,0.6470
0.1392,13.333,12.667,11691,11856,0.6790,0.6817
0.1910,17.333,17.333,11718,11882,0.7043,0.7070
0.2395,21.333,22.000,11749,11915,0.6950,0.6830
0.2892,22.667,24.667,11783,11952,0.6830,0.6403
0.3421,25.333,25.333,11822,11991,0.6390,0.6363
0.3894,26.667,27.333,11862,12032,0.6190,0.6017
0.4393,27.333,28.667,11902,12074,0.6110,0.5777
0.4892,26.000,26.667,11941,12114,0.6457,0.6243
0.5395,27.333,26.000,11983,12153,0.6243,0.6457
0.5894,26.667,28.000,12022,12195,0.6443,0.6097
0.6394,28.000,26.667,12064,12236,0.6217,0.6430
0.6907,29.333,27.333,12109,12276,0.5963,0.6350
0.7420,30.000,26.000,12153,12316,0.5830,0.6697
0.7926,26.667,30.667,12193,12362,0.6563,0.5750
0.8402,25.333,28.667,12232,12404,0.6923,0.6177
0.8911,28.667,30.667,12275,12451,0.6283,0.5763
0.9393,28.000,29.333,12316,12494,0.6457,0.6043
0.9894,30.667,28.000,12363,12536,0.5910,0.6350
1.0396,29.333,28.000,12406,12578,0.6190,0.6390
1.0915,26.000,29.333,12443,12620,0.6937,0.6137
1.1894,29.333,29.333,12527,12708,0.6377,0.6203
1.2411,28.000,28.000,12569,12749,0.6683,0.6510
1.2892,30.667,28.667,12615,12793,0.6137,0.6403
1.3393,30.000,30.667,12661,12838,0.6270,0.5990
1.3894,28.000,30.000,12702,12884,0.6710,0.6123
1.4414,29.333,29.333,12746,12927,0.6457,0.6270
1.4894,27.333,27.333,12788,12969,0.6910,0.6723
1.5394,30.667,32.000,12834,13017,0.6230,0.5750
1.5894,28.000,30.667,12876,13063,0.6803,0.6003
1.6487,32.000,31.333,12924,13110,0.5963,0.5843
1.6893,28.000,28.667,12966,13153,0.6803,0.6403
1.7394,30.667,30.000,13011,13198,0.6257,0.6137
1.7895,32.000,30.000,13059,13243,0.5950,0.6137
1.8394,27.333,30.000,13101,13288,0.6937,0.6137
1.8893,32.000,30.000,13148,13333,0.5963,0.6137
1.9396,27.333,28.667,13189,13376,0.6950,0.6430
1.9893,29.333,30.000,13233,13421,0.6563,0.6163
2.0393,28.000,28.667,13275,13464,0.6870,0.6457
2.0893,29.333,32.000,13320,13511,0.6617,0.5750
2.1392,32.667,30.000,13368,13556,0.5897,0.6150
2.1893,30.667,30.000,13414,13601,0.6283,0.6150
2.2394,28.667,28.667,13458,13644,0.6710,0.6443
2.2894,29.333,28.000,13501,13687,0.6590,0.6617
2.3395,31.333,29.333,13549,13731,0.6163,0.6363
2.3895,30.667,30.667,13594,13777,0.6283,0.6083
2.4393,28.667,32.000,13637,13824,0.6710,0.5777
2.4922,28.667,27.333,13681,13866,0.6737,0.6763
2.5394,28.000,31.333,13723,13913,0.6910,0.5937
2.5896,32.000,30.667,13771,13959,0.6070,0.6057
2.6422,30.667,29.333,13817,14002,0.6323,0.6337
2.6919,32.000,28.667,13864,14045,0.6017,0.6497
2.7395,31.333,28.667,13911,14089,0.6123,0.6523
2.7895,30.667,32.000,13958,14137,0.6243,0.5817
2.8393,28.667,29.333,14000,14181,0.6670,0.6363
2.8895,26.667,29.333,14041,14225,0.7137,0.6377
2.9409,29.333,32.000,14084,14272,0.6617,0.5803
2.9896,30.667,27.333,14130,14314,0.6337,0.6790
3.0411,30.667,29.333,14176,14358,0.6323,0.6403
3.0910,30.000,32.667,14222,14406,0.6457,0.5683
3.1394,30.667,27.333,14268,14448,0.6310,0.6803
3.1894,28.667,30.000,14311,14492,0.6737,0.6270
3.2395,26.667,29.333,14350,14537,0.7203,0.6417
3.2918,30.667,31.333,14397,14583,0.6390,0.5990
3.3395,31.333,28.000,14443,14625,0.6230,0.6697
3.3930,30.667,31.333,14490,14672,0.6350,0.6003
3.4394,29.333,30.667,14534,14719,0.6630,0.6123
3.4908,28.000,31.333,14575,14765,0.6937,0.5963
3.5396,30.667,32.000,14622,14814,0.6390,0.5790
3.5894,31.333,32.000,14668,14861,0.6230,0.5750
3.6396,32.000,28.667,14716,14905,0.6057,0.6443
3.6894,27.333,32.000,14757,14952,0.7043,0.5737
3.7394,30.667,30.000,14803,14997,0.6363,0.6137
3.7932,28.000,28.667,14845,15040,0.6937,0.6430
3.8395,30.667,28.667,14892,15084,0.6390,0.6457
3.8895,30.667,30.667,14938,15129,0.6377,0.6043
3.9396,29.333,29.333,14982,15173,0.6657,0.6323
3.9895,30.667,29.333,15028,15217,0.6377,0.6337
