t_s,left_rpm,right_rpm,left_ticks,right_ticks,left_pwm,right_pwm
0.0094,0.000,0.000,12675,12883,0.6500,0.6500
0.0591,6.667,7.333,12686,12894,0.6457,0.6443
0.1072,14.667,14.667,12707,12916,0.6763,0.6750
0.2069,22.000,22.667,12768,12980,0.6763,0.6577
0.2566,26.000,28.000,12806,13021,0.6043,0.5550
0.3067,25.333,26.000,12845,13060,0.6270,0.6030
0.3575,30.000,24.000,12889,13097,0.5337,0.6550
0.4582,29.333,29.333,12975,13186,0.5537,0.5497
0.5067,28.000,31.333,13017,13232,0.5843,0.5070
0.5567,27.333,29.333,13057,13276,0.6030,0.5483
0.6123,26.000,27.333,13095,13319,0.6377,0.5937
0.7209,30.667,30.667,13182,13408,0.5497,0.5257
0.7569,28.667,29.333,13225,13453,0.5923,0.5537
0.8067,28.000,28.000,13268,13495,0.6097,0.5843
0.8588,31.333,31.333,13314,13541,0.5403,0.5150
0.9067,28.000,26.667,13357,13582,0.6110,0.6150
0.9569,30.667,31.333,13403,13629,0.5563,0.5190
1.0067,28.667,31.333,13445,13675,0.5990,0.5163
1.0568,29.333,28.000,13490,13718,0.5870,0.5870
1.1101,28.667,31.333,13532,13764,0.6030,0.5177
1.1584,29.333,29.333,13576,13808,0.5910,0.5590
1.2569,30.667,29.333,13667,13898,0.5630,0.5603
1.3068,26.667,28.667,13708,13940,0.6497,0.5763
1.3617,27.333,27.333,13749,13981,0.6417,0.6083
1.4078,26.000,28.000,13788,14024,0.6763,0.5990
1.4578,31.333,32.000,13835,14072,0.5670,0.0710
1.5568,32.667,28.667,13930,14158,0.0883,0.5870
1.6067,28.667,27.333,13973,14198,0.6150,0.6190
1.6583,24.667,27.333,14010,14240,0.7057,0.6243
1.7084,28.667,28.667,14053,14282,0.6283,0.6003
1.7606,31.333,31.333,14100,14330,0.5723,0.5443
1.8069,28.667,30.667,14143,14376,0.6283,0.5563
1.8568,28.667,29.333,14187,14420,0.6310,0.5843
1.9086,32.000,32.000,14235,14468,0.1163,0.0830
1.9580,27.333,26.000,14277,14508,0.6590,0.6550
2.0568,30.000,30.000,14362,14593,0.6110,0.5803
2.1068,30.667,30.667,14408,14639,0.5963,0.5657
2.1593,30.000,30.000,14452,14683,0.6097,0.5790
2.2068,30.000,31.333,14497,14730,0.6097,0.5497
2.2570,30.000,30.000,14542,14776,0.6097,0.5763
2.3068,27.333,32.000,14584,14823,0.6683,0.0883
2.3568,32.000,26.667,14632,14864,0.1270,0.6457
2.4125,28.000,27.333,14674,14905,0.6550,0.6377
2.5068,27.333,30.000,14757,14993,0.6777,0.5870
2.5578,30.000,32.000,14802,15040,0.6243,0.0990
2.6088,29.333,26.667,14846,15081,0.6390,0.6563
2.6607,28.667,25.333,14887,15117,0.6550,0.6923
2.7568,32.667,32.000,14985,15209,0.1230,0.1150
2.8069,27.333,26.667,15026,15249,0.6790,0.6723
2.8579,29.333,30.000,15070,15294,0.6403,0.6057
2.9067,28.000,28.000,15112,15336,0.6710,0.6497
2.9570,30.667,30.667,15157,15382,0.6163,0.5950
3.0070,32.000,30.000,15206,15427,0.1417,0.6083
3.0579,26.000,32.000,15245,15474,0.7137,0.1203
3.1107,28.667,30.000,15284,15522,0.6630,0.6043
3.2068,30.000,30.000,15372,15610,0.6443,0.6043
3.2601,32.667,30.000,15421,15655,0.1417,0.6043
3.3069,30.667,32.000,15467,15702,0.6243,0.1163
3.3573,28.000,28.667,15508,15746,0.6817,0.6297
3.4072,31.333,29.333,15555,15790,0.6123,0.6177
3.4569,30.667,27.333,15601,15831,0.6243,0.6630
3.5099,32.000,28.667,15650,15874,0.1497,0.6390
3.5568,27.333,31.333,15691,15921,0.6923,0.5830
3.6069,29.333,32.000,15735,15969,0.6537,0.1217
3.6588,30.000,31.333,15779,16015,0.6403,0.5763
3.7067,30.000,29.333,15824,16060,0.6403,0.6177
3.7568,30.667,30.667,15870,16105,0.6257,0.5897
3.8085,30.667,29.333,15916,16150,0.6243,0.6177
3.8605,30.000,30.667,15961,16195,0.6377,0.5897
3.9129,28.667,28.000,16006,16239,0.6670,0.6470
4.0069,33.333,33.333,16101,16335,0.1217,0.0870
