t_s,left_rpm,right_rpm,left_ticks,right_ticks,left_pwm,right_pwm
0.0556,0.000,0.000,1840,1896,0.6500,0.6500
0.1003,6.000,6.000,1850,1906,0.6470,0.6470
0.1503,14.000,14.000,1870,1926,0.6790,0.6790
0.2005,17.333,18.667,1897,1954,0.7043,0.7017
0.2509,23.333,21.333,1932,1987,0.6510,0.6923
0.3005,24.667,25.333,1969,2024,0.6350,0.6217
0.3544,26.000,25.333,2007,2062,0.6163,0.6310
0.4031,25.333,27.333,2045,2104,0.6390,0.5963
0.4533,25.333,29.333,2084,2148,0.6483,0.5577
0.5006,28.000,28.667,2126,2190,0.5990,0.5737
0.5503,28.000,28.000,2168,2233,0.6030,0.5910
0.6004,28.667,30.000,2210,2278,0.5923,0.5510
0.6504,25.333,30.000,2249,2322,0.6683,0.5510
0.7019,28.000,25.333,2290,2361,0.6190,0.6537
0.7507,28.000,30.667,2332,2406,0.6230,0.5457
0.8004,29.333,29.333,2376,2450,0.5977,0.5737
0.8518,30.667,27.333,2422,2492,0.5697,0.6190
0.9007,30.667,30.667,2468,2537,0.5683,0.5510
0.9518,28.667,29.333,2512,2581,0.6110,0.5790
1.0004,29.333,29.333,2555,2625,0.5990,0.5803
1.0518,26.000,29.333,2594,2669,0.6737,0.5817
1.1087,29.333,29.333,2638,2713,0.6083,0.5830
1.1543,29.333,29.333,2683,2757,0.6097,0.5843
1.2004,27.333,26.667,2724,2797,0.6550,0.6443
1.2504,31.333,30.000,2771,2842,0.5723,0.5777
1.3031,30.000,27.333,2815,2883,0.5990,0.6363
1.3523,29.333,30.000,2860,2929,0.6137,0.5830
1.4006,30.000,28.667,2905,2972,0.6003,0.6123
1.4535,30.000,28.000,2949,3014,0.6003,0.6297
1.5056,28.000,32.000,2991,3062,0.6443,0.5457
1.5533,26.667,28.000,3032,3104,0.6777,0.6297
1.6004,32.000,32.000,3079,3152,0.5670,0.5457
1.6504,28.667,32.000,3123,3199,0.6363,0.5417
1.7005,29.333,30.000,3166,3245,0.6243,0.5817
1.7519,27.333,30.000,3207,3289,0.6697,0.5817
1.8030,29.333,29.333,3252,3334,0.6310,0.5963
1.8504,30.000,28.667,3296,3377,0.6177,0.6123
1.9006,26.667,31.333,3336,3424,0.6910,0.5563
1.9518,32.667,28.667,3385,3467,0.5657,0.6123
2.0005,30.667,28.667,3432,3510,0.6043,0.6150
2.0548,28.000,32.000,3474,3557,0.6617,0.5443
2.1004,31.333,30.000,3520,3603,0.5923,0.5843
2.1506,28.000,28.667,3562,3645,0.6630,0.6137
2.2021,32.000,31.333,3611,3692,0.5790,0.5577
2.2505,32.667,28.667,3659,3735,0.5603,0.6137
2.3004,27.333,30.000,3701,3781,0.6723,0.5870
2.3505,30.667,31.333,3746,3828,0.6043,0.5577
2.4018,27.333,31.333,3788,3875,0.6763,0.5550
2.4519,28.667,31.333,3830,3921,0.6523,0.5523
2.5020,28.667,28.000,3873,3963,0.6550,0.6230
2.5504,30.000,29.333,3918,4008,0.6283,0.5977
2.6034,31.333,31.333,3965,4054,0.5990,0.5550
2.6505,32.667,28.000,4014,4097,0.5670,0.6257
2.7019,32.000,31.333,4063,4143,0.5763,0.5563
2.7506,30.667,30.000,4108,4188,0.6017,0.5830
2.8005,31.333,28.000,4156,4231,0.5857,0.6270
2.8506,30.000,31.333,4200,4277,0.6123,0.5577
2.9020,31.333,30.000,4247,4322,0.5830,0.5843
2.9505,29.333,29.333,4292,4367,0.6243,0.5990
3.0054,28.667,28.667,4332,4408,0.6403,0.6150
3.1005,30.000,29.333,4416,4494,0.6243,0.6083
3.1506,31.333,30.667,4464,4541,0.5950,0.5803
3.2067,29.333,32.000,4507,4589,0.6363,0.5497
3.2519,31.333,32.000,4555,4637,0.5937,0.5457
3.3007,28.667,28.667,4597,4679,0.6497,0.6150
3.3506,32.667,30.000,4646,4725,0.5643,0.5883
3.4006,32.000,32.000,4694,4772,0.5737,0.5443
3.4506,32.000,28.667,4742,4815,0.5697,0.6137
3.5004,26.667,26.667,4783,4856,0.6830,0.6603
3.5505,29.333,30.667,4826,4902,0.6310,0.5790
3.6004,32.000,32.000,4874,4950,0.5737,0.5483
3.6518,27.333,32.000,4916,4998,0.6723,0.5443
3.7005,30.667,31.333,4961,5045,0.6043,0.5550
3.7508,32.000,31.333,5010,5092,0.5737,0.5523
3.8006,28.000,29.333,5051,5136,0.6577,0.5937
3.8507,27.333,30.000,5093,5180,0.6763,0.5803
3.9030,28.000,29.333,5135,5225,0.6670,0.5950
3.9507,32.000,28.667,5182,5267,0.5830,0.6110
4.0018,31.333,30.000,5229,5312,0.5937,0.5843
