t_s,left_rpm,right_rpm,left_ticks,right_ticks,left_pwm,right_pwm
0.0410,0.000,0.000,16304,16554,0.6500,0.6500
0.0894,6.667,6.667,16315,16564,0.6457,0.6457
0.1407,14.667,14.667,16336,16586,0.6763,0.6763
0.1894,15.333,17.333,16359,16612,0.7057,0.7017
0.2394,21.333,22.667,16391,16647,0.6963,0.6630
0.2894,26.000,26.667,16430,16686,0.6110,0.5897
0.3394,26.667,27.333,16470,16728,0.6043,0.5817
0.3912,28.000,28.667,16513,16770,0.5817,0.5577
0.4393,30.000,27.333,16558,16811,0.5417,0.5897
0.4909,27.333,27.333,16598,16853,0.6003,0.5950
0.5407,26.000,29.333,16637,16897,0.6350,0.5563
0.5895,26.000,31.333,16677,16944,0.6430,0.5137
0.6420,27.333,30.000,16718,16988,0.6217,0.5403
0.6895,30.000,27.333,16763,17030,0.5683,0.5990
0.7393,28.000,30.000,16804,17075,0.6123,0.5457
0.7894,30.000,31.333,16850,17121,0.5723,0.5163
0.8393,30.667,29.333,16895,17166,0.5577,0.5577
0.8896,28.667,27.333,16938,17206,0.6003,0.6030
0.9394,27.333,28.000,16979,17249,0.6323,0.5937
0.9893,27.333,28.000,17020,17291,0.6377,0.5977
1.0394,29.333,32.000,17064,17339,0.5990,0.0697
1.0910,29.333,29.333,17109,17382,0.6003,0.5683
1.1393,28.667,24.667,17151,17419,0.6163,0.6723
1.1894,30.667,26.667,17198,17460,0.5750,0.6390
1.2394,32.000,30.000,17246,17505,0.1003,0.5723
1.2893,26.000,32.000,17285,17552,0.6723,0.0843
1.3425,25.333,28.000,17323,17595,0.6950,0.6123
1.3893,30.667,28.667,17368,17637,0.5870,0.6017
1.4394,30.000,26.667,17413,17677,0.6003,0.6483
1.4894,31.333,28.667,17460,17721,0.5710,0.6110
1.5399,31.333,30.000,17508,17766,0.5683,0.5843
1.5908,30.000,31.333,17552,17813,0.5950,0.5550
1.6455,28.000,29.333,17595,17857,0.6390,0.5963
1.6910,28.000,29.333,17636,17901,0.6430,0.5977
1.7395,28.000,31.333,17678,17947,0.6470,0.5550
1.7894,30.000,28.000,17723,17990,0.6070,0.6257
1.8394,31.333,28.667,17770,18033,0.5777,0.6150
1.8893,30.000,29.333,17815,18077,0.6043,0.6030
1.9465,31.333,32.667,17862,18125,0.5750,0.0870
1.9917,28.000,28.667,17905,18169,0.6457,0.6137
2.0463,30.000,29.333,17949,18213,0.6057,0.6017
2.0944,31.333,30.000,17996,18257,0.5763,0.5883
2.1421,28.667,29.333,18039,18302,0.6323,0.6030
2.1897,30.000,32.000,18084,18349,0.6057,0.1017
2.2396,28.000,28.000,18127,18392,0.6497,0.6297
2.2911,30.667,29.333,18172,18435,0.5950,0.6043
2.3405,30.000,26.667,18218,18476,0.6083,0.6643
2.3895,29.333,28.667,18261,18518,0.6230,0.6270
2.4397,32.667,27.333,18311,18560,0.1070,0.6590
2.4894,30.000,30.667,18355,18605,0.6043,0.5910
2.5422,28.000,29.333,18397,18650,0.6483,0.6190
2.5910,28.667,34.000,18440,18700,0.6377,0.0737
2.6444,28.000,28.667,18482,18744,0.6550,0.6270
2.6895,30.000,28.000,18527,18786,0.6150,0.6443
2.7394,27.333,28.667,18569,18828,0.6737,0.6337
2.7896,30.000,29.333,18614,18872,0.6203,0.6217
2.8394,30.000,28.000,18659,18915,0.6203,0.6523
2.8909,29.333,29.333,18702,18959,0.6350,0.6270
2.9403,31.333,32.667,18750,19008,0.5923,0.1110
2.9895,32.000,32.667,18798,19056,0.1310,0.1057
3.0417,31.333,26.000,18844,19095,0.5857,0.6910
3.0894,24.667,26.667,18882,19135,0.7297,0.6843
3.1399,30.000,26.000,18926,19175,0.6230,0.7057
3.1894,29.333,28.667,18971,19218,0.6377,0.6550
3.2452,32.667,31.333,19020,19264,0.1217,0.5990
3.2896,26.667,32.667,19060,19314,0.6923,0.1230
3.3398,29.333,31.333,19104,19360,0.6403,0.5910
3.3914,29.333,28.000,19148,19402,0.6417,0.6617
3.4405,25.333,28.667,19186,19446,0.7310,0.6510
3.4895,30.000,31.333,19231,19493,0.6377,0.5950
3.5410,32.667,33.333,19280,19542,0.1350,0.1043
3.5896,28.000,31.333,19322,19590,0.6763,0.5857
3.6434,30.667,30.000,19368,19635,0.6217,0.6123
3.6904,28.667,29.333,19410,19679,0.6643,0.6270
3.7398,31.333,31.333,19458,19726,0.6083,0.5843
3.7934,29.333,30.667,19502,19772,0.6497,0.5963
3.8398,29.333,32.667,19546,19821,0.6510,0.1070
3.8953,29.333,28.000,19589,19862,0.6523,0.6483
3.9404,31.333,29.333,19637,19907,0.6097,0.6230
3.9910,33.333,30.667,19686,19953,0.1190,0.5950
