x,y,theta
-1.35,0.8037745927178848,0.0
-1.3403854713789727,0.8037745927178848,0.0005
-1.3307709427579453,0.8037745927178848,0.0009
-1.321156414136918,0.8037745927178848,0.0014
-1.3115418855158907,0.8037745927178848,0.0021
-1.3019273568948633,0.8037745927178848,0.0008
-1.292312828273836,0.8037745927178848,-0.0022
-1.2826982996528087,0.8037745927178848,-0.0071
-1.2730837710317813,0.8037745927178848,-0.0102
-1.263469242410754,0.8035342295023591,-0.0138
-1.2538547137897267,0.8035342295023591,-0.0193
-1.2442401851686993,0.8032938662868335,-0.0236
-1.234625656547672,0.8030535030713077,-0.0271
-1.2250111279266447,0.8028131398557821,-0.0294
-1.2153965993056173,0.8025727766402564,-0.0324
-1.2057820706845899,0.8023324134247307,-0.0354
-1.1961675420635627,0.8018516869936793,-0.0387
-1.1865530134425355,0.8016113237781536,-0.0424
-1.176938484821508,0.8011305973471023,-0.0446
-1.1673239562004807,0.8006498709160509,-0.045
-1.1577094275794535,0.8001691444849995,-0.0458
-1.148094898958426,0.7999287812694739,-0.0473
-1.138480370337399,0.7994480548384224,-0.0491
-1.1288658417163715,0.7989673284073712,-0.0508
-1.119251313095344,0.7984866019763198,-0.0513
-1.109636784474317,0.7980058755452684,-0.0531
-1.1002626190688152,0.7972847858986915,-0.0541
-1.0906480904477878,0.79680405946764,-0.0535
-1.0810335618267606,0.7963233330365886,-0.0534
-1.0714190332057332,0.7958426066055372,-0.0552
-1.0618045045847058,0.7953618801744858,-0.0575
-1.0521899759636784,0.7948811537434346,-0.0594
-1.0425754473426512,0.7941600640968575,-0.0621
-1.0329609187216238,0.7936793376658061,-0.0639
-1.0233463901005964,0.7929582480192291,-0.0659
-1.0137318614795692,0.7924775215881777,-0.0675
-1.0041173328585418,0.7917564319416006,-0.0679
-0.9945028042375145,0.7910353422950235,-0.0683
-0.9848882756164871,0.7903142526484466,-0.0694
-0.9755141102109856,0.7898335262173952,-0.0713
-0.9658995815899581,0.7891124365708181,-0.072
-0.9562850529689308,0.7883913469242411,-0.0719
-0.9466705243479036,0.787670257277664,-0.0707
-0.9370559957268761,0.7869491676310869,-0.0712
-0.9274414671058488,0.78622807798451,-0.0718
-0.9178269384848217,0.7855069883379329,-0.0731
-0.9082124098637943,0.7850262619068815,-0.0759
-0.898597881242767,0.7840648090447788,-0.0801
-0.8889833526217396,0.7833437193982017,-0.0851
-0.8796091872162379,0.7826226297516248,-0.0886
-0.8699946585952106,0.781661176889522,-0.0929
-0.8603801299741832,0.7809400872429448,-0.0957
-0.8507656013531559,0.7799786343808421,-0.1002
-0.8411510727321285,0.7790171815187394,-0.1037
-0.8317769073266269,0.7780557286566367,-0.1062
-0.8221623787055995,0.7768539125790083,-0.1087
-0.8125478500845722,0.7758924597169056,-0.1122
-0.8029333214635449,0.7749310068548028,-0.1177
-0.7935591560580432,0.7737291907771744,-0.1235
-0.783944627437016,0.7725273746995459,-0.1295
-0.7743300988159887,0.7713255586219175,-0.1353
-0.764955933410487,0.7698833793287635,-0.1414
-0.7553414047894597,0.768681563251135,-0.1471
-0.7457268761684323,0.767239383957981,-0.151
-0.7363527107629306,0.7657972046648269,-0.1529
-0.7267381821419034,0.7643550253716727,-0.1542
-0.7173640167364017,0.7629128460785186,-0.1554
-0.7077494881153744,0.7612303035698389,-0.1584
-0.6983753227098727,0.7597881242766849,-0.1605
-0.6887607940888454,0.7583459449835307,-0.1618
-0.6793866286833437,0.7566634024748509,-0.1612
-0.6697721000623165,0.7552212231816968,-0.1592
-0.6603979346568147,0.7537790438885427,-0.157
-0.6507834060357874,0.7520965013798628,-0.1559
-0.6414092406302857,0.7506543220867088,-0.1553
-0.6317947120092584,0.7492121427935547,-0.1549
-0.6224205466037568,0.7477699635004006,-0.1548
-0.6128060179827295,0.7463277842072465,-0.1542
-0.6034318525772279,0.7446452416985667,-0.1526
-0.5938173239562005,0.7432030624054126,-0.1524
-0.5844431585506988,0.7417608831122585,-0.153
-0.5748286299296714,0.7403187038191045,-0.1538
-0.5654544645241698,0.7388765245259502,-0.1566
-0.5558399359031425,0.7374343452327962,-0.1575
-0.5464657704976409,0.7359921659396421,-0.158
-0.5368512418766136,0.7343096234309624,-0.1577
-0.5274770764711119,0.7328674441378081,-0.1562
-0.5178625478500846,0.7314252648446541,-0.1548
-0.5084883824445828,0.7299830855515,-0.1547
-0.49887385382355554,0.7283005430428203,-0.155
-0.4892593252025283,0.7268583637496662,-0.1555
-0.4798851597970266,0.725416184456512,-0.1546
-0.4702706311759993,0.723974005163358,-0.1521
-0.4608964657704976,0.7225318258702038,-0.1498
-0.4512819371494703,0.7210896465770498,-0.1477
-0.4419077717439686,0.7196474672838957,-0.147
-0.4322932431229414,0.7182052879907415,-0.1444
-0.4229190777174397,0.7167631086975874,-0.141
-0.41330454909641234,0.715561292619959,-0.1366
-0.40369002047538505,0.7141191133268049,-0.1342
